ACCOUNT_NUMBER,CVV,USERNAME,PASSWORD,PHONE NUMBER,AMOUNT,NAME
123456786,456,varshi,varshi@7,8796352450,6000.0,Varshitha Kesa
729347582,234,janu,janu#,8967138520,5000.0,NDN Jhanvi
192038492,156,sneha,sneha55,9463217582,100000.0,Sneha Nair
128930124,457,sithara,sith##,8961237564,4500.0,Sithara JP
921034592,987,polo,polo@3,7583210836,10000.0,polatha Agarwal
193847523,245,sam,sam4u,9256413000,6500.0,Sam Gupta
384929412,687,tris,tris34,9872346510,5000.0,tris vadalia
672912738,376,alex,alex77,8642301508,8000.0,Andrew Alex
923405642,987,riya,riya99,7456982315,3000.0,Riya Jain
821093454,987,harry,hary#2,9856321446,5500.0,Harry styles
